Country,Status,life_expectancy,adult_mortality,infant_deaths,alcohol,perc_expenditure,hepatitisB,measles,BMI,deaths_under_five,polio,tot_expenditure,diphtheria,AIDS,GDPpc,pop,thinness10_19years,thinness5_9years,inc_composition,schooling
Brazil,Developing,75,142,42,7.32,9.2,96,214,56.1,47,98,8.32,96,0.1,8757.2622,2596218,2.7,2.6,0.754,15.2
BruneiDarussalam,Developing,77.7,78,0,0.01,2.5,99,4,41.2,0,99,2.65,99,0.1,3967.8951,"422,211",5.7,5.1,0.864,14.9
Bulgaria,Developed,74.5,137,0,12.03,7.5,92,0,65.7,1,91,8.44,91,0.1,6993.47736,7177991,1.9,1.8,0.792,15
BurkinaFaso,Developing,59.9,26,38,0.01,6,91,99,19.4,61,91,4.96,91,0.6,615.592225,1811624,8,7.5,0.399,7.7
Burundi,Developing,59.6,288,21,0.01,7.1,94,9,18.7,31,94,7.54,94,0.7,33.681223,119927,7.3,7.2,0.406,10.6
CaboVerde,Developing,73.3,114,0,0.01,4.8,96,0,31.3,0,93,4.76,93,0.2,2954.119467,532913,6.6,6.6,0.646,13.5
Cambodia,Developing,68.7,174,10,0.01,6.1,89,0,19.6,12,87,5.68,89,0.2,1163.18977,15517635,1.9,1.9,0.558,10.9
Cameroon,Developing,57.3,357,45,0.01,3.6,84,1809,29,68,83,4.1,84,3.5,1244.429421,22834522,5.6,5.5,0.514,10.4
Canada,Developing,82.2,64,2,8.1,11,55,195,67,2,91,1.45,91,0.1,43315.744,3584861,0.6,0.5,0.919,16.3
CentralAfricanRepublic,Developing,52.5,397,15,0.01,5.4,47,150,22.7,21,47,4.2,47,4.4,348.381417,45461,8.2,8.2,0.347,7.1
Chad,Developing,53.1,356,46,0.01,4.7,46,418,19.1,77,52,3.62,46,2.8,777.248751,149413,8.5,8.4,0.394,7.3
Chile,Developing,85,82,2,7.16,8.6,97,9,63.8,2,96,7.79,96,0.1,13653.2264,17762681,0.8,0.8,0.845,16.3
China,Developing,76.1,85,157,5.78,5,99,42361,32.9,183,99,5.55,99,0.1,869.211938,137122,3.6,2.9,0.734,13.5
Colombia,Developing,74.8,143,10,4.38,7.5,91,1,57.9,12,91,7.2,91,0.1,644.525556,48228697,2.1,1.9,0.724,13.6
Comoros,Developing,63.5,227,1,0.01,4.7,91,0,24.2,2,92,6.75,91,0.8,727.6463868,777424,6.7,6.5,0.498,11.1
Congo,Developing,64.7,267,7,0.01,2.8,8,1359,27.4,10,8,5.15,8,2.8,,"5,097,580",7.5,7.1,0.59,11.1
CostaRica,Developing,79.6,95,1,3.45,7.3,92,0,6.5,1,92,9.31,92,0.1,1146.36273,487852,1.7,1.7,0.775,14.2
Croatia,Developed,78,95,0,12.14,6.7,94,206,63.7,0,94,7.8,94,0.1,11579.6674,42364,1.5,1.4,0.823,15.3
Cuba,Developing,79.1,92,1,4.37,12.2,99,0,61.4,1,99,11.6,99,0.1,762.261218,"11,238,661",3.5,3.3,0.773,13.9
Cyprus,Developed,85,52,0,0.01,6.7,97,0,6.3,0,97,7.37,97,0.1,2375.1127,116985,1,1,0.854,14.3
Czechia,Developed,78.8,86,0,12.68,7.4,97,9,66.1,0,97,7.41,97,0.1,17945,"10,524,416",1.8,1.8,,
DemocraticPeople'sRepublicofKorea,Developing,76,139,6,0.01,,96,0,32.9,8,99,4.33,96,0.1,28724,"50,983,911",4.9,4.9,,
DemocraticRepublicoftheCongo,Developing,59.8,258,236,0.01,4.2,81,5020,21.6,308,78,4.33,81,1.1,2348,"111,000,000",9.5,9.3,,
Denmark,Developed,86,71,0,9.64,10.3,,9,58.8,0,93,1.8,93,0.1,5314.64416,5683483,1.1,0.9,0.923,19.2
Djibouti,Developing,63.5,241,1,0.38,2.7,84,47,35,1,84,1.57,84,2.1,1862.167274,927414,5.6,5.4,0.47,6.3
DominicanRepublic,Developing,73.9,152,6,5.92,4.6,81,0,58.9,7,87,4.38,85,0.3,6468.471648,1528394,3.3,3.2,0.718,13.2
Ecuador,Developing,76.2,118,6,3.82,7.4,78,0,54.2,7,84,9.16,78,0.1,625.62224,16144368,1.2,1.1,0.739,14
Egypt,Developing,79,159,51,0.21,5.1,93,5432,61.1,60,93,5.64,93,0.1,3934,"89,000,000",2.8,2.8,0.688,13.1
ElSalvador,Developing,73.5,178,2,2.52,8.7,91,0,56.1,2,92,6.77,91,0.2,4127.11775,6312478,1.6,1.5,0.678,13.2
EquatorialGuinea,Developing,58.2,32,3,0.01,2.9,16,1250,24.5,4,17,3.8,16,4.2,1347.31257,1175389,8.4,8.3,0.582,9.2
Eritrea,Developing,64.7,255,5,0.01,3.7,95,198,18.6,7,95,3.34,95,0.4,194,"3,105,545",8.4,8.2,0.418,5
Estonia,Developing,77.6,119,0,0.01,6.7,91,4,59.9,0,93,6.38,93,0.1,1774.9291,131547,1.9,1.9,0.863,16.5
Ethiopia,Developing,64.8,225,136,0.01,3.6,77,17745,17.6,194,75,4.88,77,0.6,645.4637627,9987333,1.4,1.2,0.441,8.4
Fiji,Developing,69.9,188,0,0.01,3.3,99,0,62.7,0,99,4.49,99,0.1,4921.89629,892149,4,3.7,0.734,15.3
Finland,Developing,81.1,76,0,8.8,9.4,,2,62.1,0,97,9.68,97,0.1,4245.39744,5479531,0.9,0.8,0.893,17
France,Developing,82.4,78,2,11.5,11.5,86,157,62.5,3,98,11.54,98,0.1,36526.7711,6662468,0.7,0.6,0.894,16.3
Gabon,Developing,66,229,2,0.01,3.1,8,27,36.3,3,79,3.44,8,2.7,7388.984144,193175,6.1,5.9,0.694,12.6
Gambia,Developing,61.1,262,3,0.01,3.2,97,71,27.3,5,96,7.34,97,1.7,619.5,"2,224,529",7.3,7.2,0.45,8.9
Georgia,Developing,74.4,129,1,6.13,8,94,431,56.2,1,91,7.42,94,0.1,3764.64912,37171,2.7,2.8,0.768,13.9
Germany,Developed,81,68,2,11.03,11.2,88,2464,62.3,3,94,11.3,95,0.1,41176.88158,81686611,1.1,1.1,0.924,17.1
Ghana,Developing,62.4,249,37,0.01,3.4,88,23,28.6,52,88,3.56,88,0.7,1361.11395,27582821,6.2,6.1,0.575,11.4
Greece,Developing,81,72,0,7.53,8.4,96,1,66.5,0,99,8.8,99,0.1,187.78991,182883,0.8,0.7,0.865,17.2
Grenada,Developing,73.6,142,0,8.42,4.4,92,0,48.4,0,99,6.1,92,0.1,9212.192824,"114,675",3.8,3.8,0.751,15.8
Guatemala,Developing,71.9,186,10,1.88,6.1,74,0,5.6,12,9,6.2,74,0.4,3923.573344,16252429,1.2,1.2,0.637,10.7
Guinea,Developing,59,284,26,0.01,5.4,54,243,23.3,40,42,5.64,54,0.5,554.48766,1291533,7.3,7.3,0.414,8.8
Guinea-Bissau,Developing,58.9,275,4,0.01,8.3,87,153,26.3,6,87,5.59,87,3.2,596.8717189,177526,7.1,7,0.421,9.2
Guyana,Developing,66.2,215,0,7.64,4,95,0,46.7,1,92,5.25,95,0.3,4136.689919,768514,5.5,5.3,0.638,10.3
Haiti,Developing,63.5,24,14,0.01,4.8,6,0,49.9,18,56,7.56,6,0.5,814.5463952,171161,3.9,3.9,0.49,9.1
Honduras,Developing,74.6,147,3,2.87,7.7,97,0,51,4,97,8.72,97,0.3,2326.15856,896829,2.1,2.1,0.623,11.2
Hungary,Developed,75.8,134,0,10.88,7,,0,64.8,0,99,7.4,99,0.1,12365.6263,984328,1.6,1.6,0.834,15.6
Iceland,Developed,82.7,49,0,7.45,8.1,,0,61,0,92,8.86,92,0.1,5734.4436,33815,1,0.9,0.919,19
India,Developing,68.3,181,910,3.07,3.5,87,90387,18.7,1100,86,4.69,87,0.2,1613.18878,1395398,26.7,27.3,0.615,11.6
Indonesia,Developing,69.1,176,114,0.09,3,78,15099,27.4,136,8,2.85,78,0.3,3336.16686,258162113,1.4,1.2,0.686,12.9
Iran(IslamicRepublicof),Developing,75.5,83,18,0.01,8,98,615,59.7,21,98,6.89,98,0.1,5172,"82,619,361",8.5,8.6,0.774,14.8
Iraq,Developing,68.9,182,32,0.01,4.6,56,1433,59.1,38,63,5.54,58,0.1,4974.2693,36115649,5.3,5.1,0.649,10.1
Ireland,Developed,81.4,64,0,10.75,7.5,95,4,62.8,0,95,7.78,95,0.1,6664.144,4676835,0.3,0.2,0.92,18.6
Israel,Developing,82.5,58,0,2.62,7.1,96,80,64.9,1,95,7.81,95,0.1,35729.37253,8381,1.2,1.1,0.898,16
Italy,Developed,82.7,56,1,7.56,8.7,93,159,63.6,2,93,9.25,93,0.1,349.14755,673582,0.6,0.6,0.881,16.3
Jamaica,Developing,76.2,125,1,3.83,5.7,91,0,54.2,1,91,5.36,91,0.5,4965.989857,2871934,1.8,1.7,0.729,12.8
Japan,Developed,83.7,55,2,7.55,10.7,,35,29,3,99,1.23,96,0.1,34474.13736,127141,2.1,1.8,0.902,15.3
Jordan,Developing,74.1,112,4,0.4,7,99,0,65.6,4,99,7.45,99,0.1,496.99275,915932,4,4,0.741,13.1
Kazakhstan,Developing,72,198,4,6.29,3.4,98,526,53.1,5,98,4.36,98,0.1,159.9817,17544126,2.4,2.5,0.793,15
Kenya,Developing,63.4,249,54,0.8,4.8,89,95,22,75,83,5.72,89,2.8,1349.97144,47236259,7.8,7.6,0.55,11.1
Kiribati,Developing,66.3,198,0,0.01,10.5,82,0,77.6,0,8,1.21,78,0.1,1424.483611,11247,0.1,0.1,0.586,11.9
Kuwait,Developing,74.7,81,0,0.01,4.7,99,18,71.4,1,99,3.4,99,0.1,28975.418,"1,545,000",3.5,3.4,0.799,13.3
Kyrgyzstan,Developing,71.1,166,3,0.01,6.4,97,17779,44.9,3,97,6.48,97,0.1,1105.7,"6,001,882",3.3,3.4,0.662,13
LaoPeople'sDemocraticRepublic,Developing,65.7,194,8,0.01,2.4,89,56,21.7,11,89,1.87,89,0.2,2124,"6,490,000",8.8,8.9,0.582,10.8
Latvia,Developed,74.6,153,0,10.37,6.1,94,0,61.2,0,95,5.88,95,0.1,13666.58336,1977527,2.2,2.1,0.828,16
Lebanon,Developing,74.9,98,1,1.32,7.9,81,39,66.1,1,75,6.39,81,0.1,846.632851,5851479,4.9,4.9,0.763,13.3
Lesotho,Developing,53.7,484,4,0.01,9.2,93,0,32.6,6,9,1.62,93,9.3,173.82893,2174645,5.5,5.3,0.495,10.7
Liberia,Developing,61.4,259,8,0.01,9.9,52,1060,27.3,11,52,1.4,52,0.9,452.38717,4499621,6.5,6.4,0.427,9.9
Libya,Developing,72.7,138,1,0.01,0,97,82,64.8,2,97,4.97,97,0.1,7707,"6,531,819",5.8,5.5,0.719,13.4
Lithuania,Developed,73.6,165,0,15.19,6.6,94,50,62.4,0,93,6.55,93,0.1,14252.42853,29491,2.6,2.6,0.846,16.5
Luxembourg,Developed,82,63,0,11.12,5.1,94,0,61.3,0,99,6.94,99,0.1,1199.8223,56964,1,0.9,0.896,13.9
Madagascar,Developing,65.5,22,28,0.87,5.3,69,3,2.5,38,71,3.4,69,0.3,41.8575951,2423488,7.1,7.1,0.511,10.3
Malawi,Developing,58.3,365,26,0.01,7.7,88,0,19.6,38,88,11.38,88,4.8,362.6575444,1757367,6.4,6.2,0.473,10.8
Malaysia,Developing,75,123,4,0.52,3.7,99,1318,4.6,4,99,4.17,99,0.1,9643.644683,3723155,7.5,7.3,0.787,13.1
Maldives,Developing,78.5,61,0,0.01,10.3,99,0,27.4,0,99,13.73,99,0.1,8395.785198,49163,13.6,13.6,0.701,12.7
Mali,Developing,58.2,266,52,0.01,3.8,64,215,23.8,84,66,6.86,64,1.5,729.725338,1746795,7.7,7.5,0.438,8.4
Malta,Developed,81.7,54,0,8.49,9,95,2,69.6,0,97,9.75,97,0.1,23819.4636,431874,0.8,0.8,0.853,14.6
Mauritania,Developing,63.1,25,8,0.01,3.1,73,1,3.8,12,67,3.77,73,0.9,1158.256469,4182341,7.8,7.5,0.513,8.5
Mauritius,Developing,74.6,146,0,0.01,5.5,97,0,33.3,0,98,4.81,97,0.1,9252.11724,126265,6.9,6.8,0.779,15.2
Mexico,Developing,76.7,122,30,5.26,5.6,82,0,63.5,35,87,6.3,87,0.1,9143.128494,12589949,1.5,1.5,0.758,13.3
Micronesia(FederatedStatesof),Developing,69.4,166,0,1.58,13.1,78,0,69.4,0,71,13.71,72,0.1,2911.2,"519,772",0.2,0.2,0.637,11.7
Mongolia,Developing,68.8,222,1,0.01,4.6,99,20359,52.7,1,99,4.73,99,0.1,3944.1839,2976877,2.2,2.3,0.733,14.8
Montenegro,Developing,76.1,16,0,0.01,8.6,82,0,61.8,0,89,6.42,89,0.1,6461.192554,622159,1.8,1.8,0.804,15.1
Morocco,Developing,74.3,95,17,0.43,5.1,99,17,58.5,20,99,5.91,99,0.1,2847.285569,3483322,6.4,6.2,0.645,12.1
Mozambique,Developing,57.6,355,60,0.1,7.3,8,79,22.6,81,8,6.98,8,3.9,528.3125597,281691,3.6,3.5,0.414,9.1
Myanmar,Developing,66.6,199,39,0.55,5.1,89,6,23.8,50,89,2.28,89,0.3,1194.59137,5243669,12.8,13,0.552,9.1
Namibia,Developing,65.8,248,2,0.01,9.3,92,212,35.7,3,92,8.93,92,2.1,4737.66996,2425561,8.2,8.1,0.637,11.7
Nepal,Developing,69.2,165,17,0.26,5.4,91,1599,19.1,21,9,5.8,91,0.1,743.7653489,28656282,15.7,16.1,0.555,12.2
Netherlands,Developed,81.9,57,1,9.05,10.1,94,7,62.1,1,95,1.9,95,0.1,44292.88473,16939923,1,0.9,0.923,18.1
NewZealand,Developed,81.6,66,0,8.7,9.2,92,10,67.5,0,92,11.3,92,0.1,3821.8937,"4,614,029",0.4,0.3,0.913,19.2
Nicaragua,Developing,74.8,145,2,3.55,8,98,0,54,2,99,9.4,98,0.1,295.966488,68235,1.8,1.7,0.642,11.7
Niger,Developing,61.8,22,49,0.01,4.5,65,7693,19.3,87,65,5.82,65,0.4,358.99731,19896965,9.6,9.4,0.351,5.4
Nigeria,Developing,54.5,344,483,8.54,3.6,49,12423,25.4,747,49,3.67,49,3.7,2655.157977,181181744,9.8,9.7,0.525,10
Norway,Developed,81.8,59,0,5.97,10.5,,14,61.2,0,95,9.72,95,0.1,7455.24654,518867,0.8,0.7,0.948,17.7
Oman,Developing,76.6,99,1,0.4,4.2,99,0,54.6,1,99,3.55,99,0.1,16627.36433,"4,184,895",7.1,6.9,0.795,13.7
Pakistan,Developing,66.4,161,352,0.04,2.6,72,386,25.4,433,72,2.61,72,0.1,1431.244865,18938513,19.2,19.6,0.548,8.1
Panama,Developing,77.8,118,1,6.74,7.4,73,0,57.8,1,72,8.3,73,0.1,13134.4367,3969249,1.9,1.8,0.785,13
PapuaNewGuinea,Developing,62.9,275,10,0.01,2.3,67,38,48.6,12,74,4.26,73,0.6,2467,7919825,1.3,1.3,0.515,10
Paraguay,Developing,74,146,2,5.36,6.7,93,0,5.2,3,89,9.81,93,0.2,419.367724,6639119,2,1.9,0.692,12.3
Peru,Developing,75.5,123,8,5.14,5,9,4,55.6,10,88,5.47,9,0.1,63.343259,31376671,1.1,1.1,0.737,13.4
Philippines,Developing,68.5,211,52,4.52,4,6,619,25.4,66,79,4.71,6,0.1,2878.33837,11716359,1,9.7,0.679,11.7
Poland,Developed,77.5,117,2,10.71,6.6,96,0,61.7,2,92,6.35,98,0.1,12565.9876,37986412,1.9,2,0.852,16.4
Portugal,Developed,81.1,76,0,9.88,9.4,98,8,61.6,0,98,9.5,98,0.1,1922.681,135876,0.7,0.5,0.841,16.6
Qatar,Developing,78.2,68,0,1.15,3.5,99,18,69.3,0,99,2.19,99,0.1,66346.52267,2404776,5.2,4.9,0.855,13.4
Romania,Developed,75,133,2,9.58,5.1,9,4,6.7,2,89,5.57,89,0.1,8958.788593,19815481,2.5,2.7,0.798,14.7
RussianFederation,Developing,75,222,13,10.12,5.3,97,843,6.5,15,97,7.7,97,0.1,9329.298351,1449687,2.3,2.3,0.805,15
Rwanda,Developing,66.1,227,11,0.01,7,98,1,21.4,15,99,7.53,98,0.4,71.348397,11629553,5.7,5.7,0.493,10.8
SaintLucia,Developing,75.2,138,0,9.97,4.4,99,0,47.5,0,99,6.72,99,0.1,10334.9,185868,4.3,4.3,0.735,13.1
SaintVincentandtheGrenadines,Developing,73.2,156,0,7.01,4.1,98,0,54.1,0,97,8.63,98,0.1,7353.7,102627,3.5,3.4,0.72,13.3
Samoa,Developing,74,125,0,0.01,5.6,59,0,74.7,0,61,7.22,66,0.1,4149.363444,193759,0.2,0.1,0.702,12.9
SaoTomeandPrincipe,Developing,67.5,19,0,0.01,6.4,96,0,3.9,0,96,8.35,96,0.2,1624.63963,195553,5.5,5.3,0.565,11.2
SaudiArabia,Developing,74.5,88,7,0.09,6.2,98,219,68.2,8,97,4.68,98,0.1,2732.86172,"29,816,000",7.8,7.6,0.845,16.1
Senegal,Developing,66.7,188,19,0.26,4.3,89,58,24.3,26,85,4.66,89,0.3,98.7256145,14976994,9.5,9.3,0.491,9.5
Serbia,Developing,75.6,121,1,9.09,8.5,94,383,6,1,95,1.37,95,0.1,5237.255334,795383,2,2,0.775,14.4
Seychelles,Developing,73.2,168,0,0.01,5,98,0,37.4,0,97,3.37,97,0.1,1539.464,93419,5.7,6,0.781,14.1
SierraLeone,Developing,51,413,22,0.01,15.8,86,607,24.4,30,86,11.9,86,0.5,587.538233,723725,7.4,7.3,0.431,9.5
Singapore,Developed,83.1,55,0,1.79,4.4,96,0,33.2,0,96,4.92,96,0.1,53629.73746,"5,540,000",2.2,2.2,0.924,15.4
Slovakia,Developed,76.7,19,0,10.6,7.1,96,1,59.1,0,96,8.5,96,0.1,39259.88,5420278,1.2,1.2,0.842,15
Slovenia,Developed,88,74,0,10.46,8.5,,18,6.1,0,95,9.23,95,0.1,2729.86383,263531,1.4,1.3,0.888,17.3
SolomonIslands,Developing,69.2,177,0,0.01,4.4,98,0,5.5,0,99,5.5,98,0.1,1922.41388,587482,1.1,1.2,0.514,9.6
Somalia,Developing,55,312,50,0.01,0,42,7497,24.3,80,47,,42,0.7,426.98537,13806964,6.6,6.4,,
SouthAfrica,Developing,62.9,328,42,7.38,8.1,75,17,51.1,52,75,8.8,75,3.6,5769.77258,5511976.68,4.4,5.3,0.665,13
SouthSudan,Developing,57.3,332,26,,0,31,878,,39,41,2.74,31,3.4,758.725782,11882136,,,0.421,4.9
Spain,Developed,82.8,56,1,9.35,8.9,97,115,66.6,1,97,9.3,97,0.1,25683.84565,46447697,0.6,0.5,0.882,17.7
SriLanka,Developing,74.9,138,3,2.37,3.6,99,1568,23.4,3,99,3.5,99,0.1,3844.89123,2966,15.1,15,0.764,14
Sudan,Developing,64.1,225,58,0.01,5.7,93,3585,,85,93,8.43,93,0.3,2513.884661,3864783,,,0.488,7.2
Suriname,Developing,71.6,176,0,6.32,6,89,0,58.3,0,89,5.69,89,0.4,8818.982566,55328,3.5,3.5,0.723,12.7
Sweden,Developed,82.4,53,0,7.3,10.9,67,22,59.5,0,98,11.93,98,0.1,5585.25847,9799186,1.5,1.4,0.909,15.9
Switzerland,Developed,83.4,49,0,9.61,11,,35,57.4,0,97,11.66,97,0.1,8989.8424,8282396,0.4,0.3,0.938,16
Tajikistan,Developing,69.7,161,10,0.01,7,96,3,4.7,11,96,6.88,96,0.2,918.6771543,8548651,3.6,3.7,0.625,11.3
Thailand,Developing,74.9,148,8,6.41,3.9,99,154,33.6,9,99,4.12,99,0.1,5814.863134,686576,7.7,7.7,0.738,13.6
Timor-Leste,Developing,68.3,152,2,0.01,6.9,76,43,17.4,2,75,1.48,76,0.1,1161.76935,124977,1.9,11.1,0.603,12.5
Togo,Developing,59.9,287,13,0.01,6.6,88,20,24.3,20,88,5.25,88,1,551.138346,741682,6.5,6.2,0.484,12
Tonga,Developing,73.5,133,0,0.01,4.8,78,0,75.2,0,8,5.18,78,0.1,493.775387,16364,0.1,0.1,0.718,14.3
TrinidadandTobago,Developing,71.2,17,0,6.94,6.5,9,0,47.1,0,88,5.93,96,0.3,17321.83373,13692,5.7,5.9,0.779,12.7
Tunisia,Developing,75.3,1,3,1.39,6.2,98,16,61.2,3,98,7,98,0.1,3828.91589,11273661,6.5,6.4,0.723,14.6
Turkey,Developing,75.8,16,15,1.45,4.3,97,342,66.1,18,97,5.41,97,0.1,1979.52569,78271472,4.9,4.8,0.764,14.5
Turkmenistan,Developing,66.3,215,6,2.9,5.7,99,0,48.6,7,99,2.7,99,0.1,6432.668768,5565284,3.3,3.3,0.688,10.8
Uganda,Developing,62.3,291,66,0.01,5,78,478,18.5,93,82,7.22,78,3.1,693.8963829,414487,5.6,5.6,0.488,10
Ukraine,Developing,71.3,195,4,8.06,7.6,22,105,61.3,5,51,7.1,23,0.2,2124.662666,4515429,2.3,2.4,0.748,15.3
UnitedArabEmirates,Developing,77.1,75,1,1.91,3.9,99,347,64.2,1,99,3.64,99,0.1,"41,423","8,939,000",5.3,5.1,0.836,13.3
UnitedKingdomofGreatBritainandNorthernIreland,Developed,81.2,69,3,10.66,9.7,,91,66.6,4,96,9.12,96,0.1,"44,979","65,110,000",0.8,0.6,,
UnitedRepublicofTanzania,Developing,61.8,279,85,3.98,4,98,30,23.8,119,96,5.58,98,1.4,939.1,53900000,6.7,6.5,,
UnitedStatesofAmerica,Developed,79.3,13,23,8.82,16.8,92,188,69.6,26,93,17.14,95,0.1,"57,007","320,896,618",0.8,0.6,,
Uruguay,Developing,77,116,0,6.03,8.7,95,0,64,0,95,8.58,95,0.1,15524.84247,3431552,1.5,1.4,0.794,15.5
Uzbekistan,Developing,69.4,184,15,0.01,4.7,99,22,44.7,17,99,5.84,99,0.1,2137.576852,312989,3,3.1,0.697,12.1
Vanuatu,Developing,72,13,0,0.01,2.9,64,39,53.3,0,65,5.2,64,0.1,285.83414,26463,1.5,1.4,0.598,10.8
Venezuela(BolivarianRepublicof),Developing,74.1,157,9,6.47,0,87,0,62.1,10,87,5.26,87,0.1,"4,103","30,529,716",1.6,1.5,0.769,14.3
VietNam,Developing,76,127,28,4.09,4.9,97,256,17.5,35,97,7.7,97,0.1,"2,582",92823254,14.2,14.5,0.678,12.6
Zambia,Developing,61.8,33,27,2.59,4.5,9,9,23.4,40,9,4.99,9,4.1,1313.889646,161587,6.3,6.1,0.576,12.5
Zimbabwe,Developing,67,336,22,6.5,7.5,87,0,31.8,32,88,6.44,87,6.2,118.69383,15777451,5.6,5.5,0.507,10.3
